,Unnamed: 0.1,Unnamed: 0,projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active,diffContribution,continent,taxonomyObjective,biggest_key
549,9082,41556,101057083,Zero-SWARM,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101057083,2022-09-15 13:36:21,1905912,12,participant,476125.0,476125.0,476125.0,False,,0.0,EU,"manufacturing technologies,key digital technologies including 5g,advanced computing and big data,artificial intelligence,robotics,circular industries",advanced materials
550,9122,41632,101135963,MOTIVATE XR,999604110,ESG48975767,fundacion tecnalia research & innovation,TECNALIA,False,REC,"PARQUE CIENTIFICO Y TECNOLOGICO DE GIPUZKOA, PASEO MIKELETEGI 2",20009,DONOSTIA-SAN SEBASTIAN (GIPUZKOA),ES,ES212,"43.2916949,-2.885882",http://www.tecnalia.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999604110/101135963,2024-04-16 16:06:44,1905767,12,participant,400000.0,400000.0,400000.0,False,,0.0,EU,"extended reality,artificial intelligence,robotics,manufacturing technologies",sustainability
551,9162,41672,101058384,RE4DY,999991334,BE0419052173,katholieke universiteit leuven,KU Leuven,False,HES,OUDE MARKT 13,3000,Leuven,BE,BE242,"50.8780592,4.699407640209",http://www.kuleuven.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991334/101058384,2022-09-04 03:27:39,1905910,19,participant,251500.0,251500.0,251500.0,False,,0.0,EU,"manufacturing technologies,artificial intelligence,advanced computing and big data,circular industries",sustainability
552,9174,41686,101070093,vera.ai,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101070093,2022-09-08 16:47:15,1905912,3,participant,539500.0,539500.0,539500.0,False,,0.0,EU,"artificial intelligence,next generation internet,advanced computing and big data,extended reality",advanced materials
553,9189,41726,101135775,PANDORA,999971934,FR01383470937,thales,THALES SIX GTS France,False,PRC,AVENUE DES LOUVRESSES 4,92230,Gennevilliers,FR,FR105,"48.9409357,2.3063114",http://www.thalesgroup.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999971934/101135775,2024-04-16 14:20:04,1905995,12,participant,560277.5,560277.5,560277.5,False,,0.0,EU,"artificial intelligence,advanced computing and big data,extended reality",space
554,9220,41888,101120726,dAIEDGE,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101120726,2023-09-19 18:32:20,1905912,6,participant,492651.25,492651.25,492651.25,False,,0.0,EU,"artificial intelligence,next generation internet,advanced computing and big data,extended reality",advanced materials
555,9221,41889,101120726,dAIEDGE,999971934,FR01383470937,thales,THALES SIX GTS France,False,PRC,AVENUE DES LOUVRESSES 4,92230,Gennevilliers,FR,FR105,"48.9409357,2.3063114",http://www.thalesgroup.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999971934/101120726,2023-09-19 18:32:20,1905995,20,participant,289528.75,289528.75,289528.75,False,,0.0,EU,"artificial intelligence,next generation internet,advanced computing and big data,extended reality",space
556,9222,41890,101120726,dAIEDGE,999992401,FR43775685019,commissariat a l energie atomique et aux energies alternatives,CEA,False,REC,RUE LEBLANC  25,75015,PARIS 15,FR,FR101,"48.8397706,2.2739214",https://www.cea.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999992401/101120726,2023-09-19 18:32:20,1905694,3,participant,323567.0,323567.0,323567.0,False,,0.0,EU,"artificial intelligence,next generation internet,advanced computing and big data,extended reality",advanced materials
557,9223,41891,101120726,dAIEDGE,999981149,BE0425260668,interuniversitair micro-electronica centrum,IMEC,False,REC,KAPELDREEF 75,3001,Leuven,BE,BE242,"50.866704049999996,4.677742878392847",http://www.imec.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999981149/101120726,2023-09-19 18:32:20,1905930,10,participant,305472.5,305472.5,305472.5,False,,0.0,EU,"artificial intelligence,next generation internet,advanced computing and big data,extended reality",advanced materials
558,9228,41896,101120726,dAIEDGE,910945140,,sintef,SINTEF,False,REC,STRINDVEGEN 4,7034,Trondheim,NO,NO060,"63.4134536,10.4089353",http://www.sintef.no,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/910945140/101120726,2023-09-19 18:32:20,1944981,16,participant,384903.75,384903.75,384903.75,False,,0.0,EU,"artificial intelligence,next generation internet,advanced computing and big data,extended reality",sustainability
