,Unnamed: 0.1,Unnamed: 0,projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active,diffContribution,continent,taxonomyObjective,biggest_key
494,7861,25743,101058245,IRISS,932760440,FI26473754,teknologian tutkimuskeskus vtt oy,VTT,False,REC,TEKNIIKANTIE 21,2150,Espoo,FI,FI1B1,"60.2051454,24.6569676",https://www.vtt.fi,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/932760440/101058245,2022-09-04 03:24:22,2104951,11,participant,151405.0,151405.0,151405.0,False,,0.0,EU,"circular industries,advanced materials",sustainability
495,7881,25763,101138747,RecAL,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101138747,2024-01-08 20:36:47,1905912,9,participant,516875.0,516875.0,0.0,False,,,EU,"advanced materials,circular industries,manufacturing technologies,robotics,artificial intelligence",advanced materials
496,7891,25773,101138747,RecAL,999991334,BE0419052173,katholieke universiteit leuven,KU Leuven,False,HES,OUDE MARKT 13,3000,Leuven,BE,BE242,"50.8780592,4.699407640209",http://www.kuleuven.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991334/101138747,2024-01-08 20:36:47,1905910,12,participant,345000.0,345000.0,0.0,False,,,EU,"advanced materials,circular industries,manufacturing technologies,robotics,artificial intelligence",sustainability
497,7916,25798,101093016,PISTIS,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101093016,2022-11-28 13:29:13,1905912,1,coordinator,1306250.0,1306250.0,1306250.0,False,,0.0,EU,"blockchain,artificial intelligence,advanced computing and big data,extended reality",advanced materials
498,7937,25819,101135595,ORCHIDE,884360156,,thales,,False,PRC,SOSEAUA ORHIDEELOR 15A 5 ZONA 2 SI ETAJ 6 ZONA 2 ORHIDEEA TOWER,60071,BUCHAREST,RO,RO321,"44.961159300000006,25.896799860166027",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/884360156/101135595,2023-12-06 16:16:55,1985500,4,participant,762160.0,762160.0,0.0,False,,,EU,"space including earth observation,advanced computing and big data,artificial intelligence,low carbon and clean industries",space
499,7940,25822,101135595,ORCHIDE,999908205,FR62414725101,thales,THALES ALENIA SPACE FRANCE,False,PRC,AVENUE JEAN FRANCOIS CHAMPOLLION 26,31100,Toulouse,FR,FRJ23,"43.5476997,1.3941094",http://www.thalesaleniaspace.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999908205/101135595,2023-12-06 16:16:55,1907214,1,coordinator,528122.14,528122.14,0.0,False,,,EU,"space including earth observation,advanced computing and big data,artificial intelligence,low carbon and clean industries",space
500,7960,25851,101138642,CRUSADE,999991334,BE0419052173,katholieke universiteit leuven,KU Leuven,False,HES,OUDE MARKT 13,3000,Leuven,BE,BE242,"50.8780592,4.699407640209",http://www.kuleuven.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991334/101138642,2024-01-08 20:32:51,1905910,4,participant,639406.25,639406.25,639406.25,False,,0.0,EU,"advanced materials,robotics,blockchain,circular industries,low carbon and clean industries",sustainability
501,8000,25891,101070250,XRECO,999991334,BE0419052173,katholieke universiteit leuven,KU Leuven,False,HES,OUDE MARKT 13,3000,Leuven,BE,BE242,"50.8780592,4.699407640209",http://www.kuleuven.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991334/101070250,2022-09-13 17:51:23,1905910,15,participant,246000.0,246000.0,246000.0,False,,0.0,EU,"artificial intelligence,extended reality,augmented reality,virtual reality,blockchain",sustainability
502,8020,25911,101057765,GREEN-LOOP,999984059,DE129515865,fraunhofer gesellschaft zur forderung der angewandten forschung ev,Fraunhofer,False,REC,HANSASTRASSE 27C,80686,Munchen,DE,DE212,"48.1322664,11.5296222",http://www.fraunhofer.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999984059/101057765,2022-09-13 16:12:37,1905912,4,participant,599995.0,599995.0,599995.0,False,,0.0,EU,"manufacturing technologies,circular industries,advanced materials,artificial intelligence",advanced materials
503,8071,25962,101138643,TERRAVISION,910945140,,sintef,SINTEF,False,REC,STRINDVEGEN 4,7034,Trondheim,NO,NO060,"63.4134536,10.4089353",http://www.sintef.no,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/910945140/101138643,2024-01-08 20:33:03,1944981,2,participant,746250.0,746250.0,0.0,False,,,EU,"earth observation,advanced materials,circular industries,artificial intelligence",sustainability
